,scientific,DiverLIZARD1_CAM4_RIG2,DiverLIZARD1_CAM6_RIG1,DiverLIZARD2_CAM2_RIG1,DiverLIZARD2_CAM4_RIG1,DiverLIZARD2_CAM5_RIG3,DiverLIZARD3_CAM1_RIG1,DiverLIZARD3_CAM2_RIG1,DiverLIZARD3_CAM3_RIG2,DiverLIZARD3_CAM5_RIG3,DiverLIZARD3_CAM6_RIG2,DiverLIZARD4_CAM2_RIG3,DiverLIZARD4_CAM4_RIG1,DiverLIZARD4_CAM5_RIG1,PerspexLIZARD1_CAM2_RIG3,PerspexLIZARD1_CAM4_RIG2,PerspexLIZARD1_CAM5_RIG3,PerspexLIZARD2_CAM2_RIG1,PerspexLIZARD2_CAM3_RIG1,PerspexLIZARD2_CAM4_RIG1,PerspexLIZARD2_CAM5_RIG3,PerspexLIZARD3_CAM1_RIG1,PerspexLIZARD3_CAM2_RIG1,PerspexLIZARD3_CAM3_RIG2,PerspexLIZARD4_CAM2_RIG3,PerspexLIZARD4_CAM4_RIG1,PerspexLIZARD4_CAM5_RIG1,PipeLIZARD1_CAM11_RIG1,PipeLIZARD1_CAM2_RIG3,PipeLIZARD1_CAM4_RIG2,PipeLIZARD1_CAM6_RIG1,PipeLIZARD2_CAM2_RIG1,PipeLIZARD2_CAM3_RIG1,PipeLIZARD2_CAM4_RIG1,PipeLIZARD2_CAM5_RIG3,PipeLIZARD3_CAM1_RIG1,PipeLIZARD3_CAM2_RIG1,PipeLIZARD3_CAM3_RIG2,PipeLIZARD4_CAM2_RIG3,PipeLIZARD4_CAM4_RIG1,PipeLIZARD4_CAM5_RIG1,PipeLIZARD5_CAM2_RIG3,SharkLIZARD1_CAM4_RIG2,SharkLIZARD1_CAM6_RIG1,SharkLIZARD2_CAM2_RIG1,SharkLIZARD2_CAM3_RIG1,SharkLIZARD2_CAM5_RIG3,SharkLIZARD3_CAM1_RIG1,SharkLIZARD3_CAM3_RIG2,SharkLIZARD3_CAM5_RIG3,SharkLIZARD4_CAM2_RIG3,SharkLIZARD4_CAM4_RIG1,SharkLIZARD4_CAM5_RIG1,SharkLIZARD5_CAM1_RIG2,TurtleLIZARD1_CAM10_RIG2,TurtleLIZARD1_CAM2_RIG3,TurtleLIZARD1_CAM4_RIG2,TurtleLIZARD1_CAM6_RIG1,TurtleLIZARD2_CAM4_RIG1,TurtleLIZARD2_CAM5_RIG3,TurtleLIZARD2_CAM7_RIG1,TurtleLIZARD3_CAM1_RIG1,TurtleLIZARD3_CAM2_RIG1,TurtleLIZARD3_CAM3_RIG2,TurtleLIZARD3_CAM6_RIG2,TurtleLIZARD4_CAM4_RIG1,TurtleLIZARD4_CAM5_RIG1,TurtleLIZARD4_CAM7_RIG2
1,Diagramma.pictum,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA
2,Lethrinus.atkinsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Lutjanus.bohar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4,Lutjanus.carponotatus,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
5,Lutjanus.fulviflamma,2,2,NA,NA,NA,NA,1,2,1,1,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,3,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
6,Lutjanus.fulvus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Lutjanus.sp,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Plectorhinchus.albovittatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
9,Plectorhinchus.chrysotaenia,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,2,NA,NA
10,Plectorhinchus.lineatus,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
