"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log.length","sqrt.speed.priorAvg","Treatment","genus","school_individual"
"speed.fid.log.length+sqrt.speed.priorAvg","log.length+sqrt.speed.priorAvg",85.6314814748201,97.7044312071043,0.21289,NA,4.12,1,0,0,0.685,0.833,1,1,0,0,0
"speed.fid.school_individual+sqrt.speed.priorAvg","school_individual+sqrt.speed.priorAvg",88.0357764819235,101.626053757375,0.2062,NA,4,0,2.404,3.922,0.206,0.117,0,1,0,0,1
"speed.fid.school_individual+sqrt.speed.priorAvg.by.school_individual","school_individual+sqrt.speed.priorAvg.by.school_individual",89.9632323650228,108.250163935382,0.21521,NA,5.61,0,4.332,10.546,0.079,0.004,0,1,0,0,1
"speed.fid.sqrt.speed.priorAvg","sqrt.speed.priorAvg",92.6630653845561,103.533128314763,0.17002,NA,3,0,7.032,5.829,0.02,0.045,0,1,0,0,0
"speed.fid.sqrt.speed.priorAvg.by.Treatment+Treatment","sqrt.speed.priorAvg.by.Treatment+Treatment",94.740948837436,127.990054871744,0.25509,NA,11.1,0,9.109,30.286,0.007,0,0,1,1,0,0
"speed.fid.sqrt.speed.priorAvg+Treatment","sqrt.speed.priorAvg+Treatment",96.2793683159019,118.182306521813,0.19673,NA,7,0,10.648,20.478,0.003,0,0,1,1,0,0
"speed.fid.genus","genus",106.385785958491,126.226310629146,0.13093,NA,6,0,20.754,28.522,0,0,0,0,0,1,0
"speed.fid.log.length.by.Treatment+Treatment","log.length.by.Treatment+Treatment",109.739280789891,142.58474446285,0.17422,NA,11.65,1,24.108,44.88,0,0,1,0,1,0,0
"speed.fid.genus+Treatment","genus+Treatment",109.768960939089,140.479415760646,0.16352,NA,10,0,24.137,42.775,0,0,0,0,1,1,0
"speed.fid.log.length","log.length",110.174719312108,120.392023800425,0.06356,NA,3.47,1,24.543,22.688,0,0,1,0,0,0,0
"speed.fid.log.length+Treatment","log.length+Treatment",111.29792849481,132.15132505278,0.10644,NA,7.22,1,25.666,34.447,0,0,1,0,1,0,0
"speed.fid.school_individual","school_individual",113.640964624745,124.738360511297,0.04623,NA,3,0,28.009,27.034,0,0,0,0,0,0,1
"speed.fid.null","null",113.941029751792,122.179280093264,0.03152,NA,2,0,28.31,24.475,0,0,0,0,0,0,0
"speed.fid.school_individual+Treatment","school_individual+Treatment",115.022989547107,137.235757741277,0.09077,NA,7,0,29.392,39.531,0,0,0,0,1,0,1
"speed.fid.Treatment","Treatment",115.054515416307,134.5223964542,0.07712,NA,6,0,29.423,36.818,0,0,0,0,1,0,0
