Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Fish ID,Length/FID,School/Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM10_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Turtle 1,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD1_CAM11_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 1,prior Speed 1 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2,prior Speed 1 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3a,prior Speed 1 Time (3 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 1,prior Speed 1 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2,prior Speed 1 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3a,prior Speed 1 Time (3 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3b,prior Speed 1 Time (3 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3c,prior Speed 1 Time (3 sec),School
,,,Diver,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,hide,Diver 2,prior Speed 1 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Diver 3a,prior Speed 1 Time (3 sec),School
,,,Pipe,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Pipe 1,prior Speed 1 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,flight,Shark 2,prior Speed 1 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Shark 3a,prior Speed 1 Time (3 sec),School
