old,new
prior range 1,prior.range.1
prior range 2,prior.range.2
prior range 3,prior.range.3
fid,FID
range 2,range.2
length,Length
prior distance from substrate 1,DFS.prior.1
prior distance from substrate 2,DFS.prior.2
prior distance from substrate 3,DFS.prior.3
fid distance from substrate,DFS.FID
distance from substratre 1,DFS.prior.1
prior distrance from other fish 1,DFF.prior.1
prior distrance from other fish 2,DFF.prior.2
prior range 2 (time 4 sec),prior.range.2
distance from substratre 2,DFS.prior.2
distance from substratre 3,DFS.prior.3
prior distrance from other fish 3,DFF.prior.3
prior speed 2 time (3 sec),speed.prior.2
fid distance from substratre,DFS.FID
fid distrance from other fish,DFF.FID
fid distance from other fish,DFF.FID
prior speed 3 time (3 sec),speed.prior.3
range 1,range.1
distance from other fish post fid,DFF.post.FID
fid speed time (0.63 sec),speed.FID
distance from other fish 1,DFF.prior.1
distance from other fish 2,DFF.prior.2
prior speed 1 time (3 sec),speed.prior.1
distance from other fish 3,DFF.prior.3
fid speed time (0.66 sec),speed.FID
fid speed time (1.13 sec),speed.FID
fid speed time (1.83 sec),speed.FID
fid speed time (3.47 sec),speed.FID
prior range 1 time (2 sec),prior.range.1
prior speed 1 time (2 sec),speed.prior.1
prior range 2 time (1.34 sec),prior.range.2
prior speed 2 time (1.34 sec),speed.prior.2
fid speed time (0.60 sec),speed.FID
fid speed time (0.40 sec),speed.FID
fid speed time (0.53 sec),speed.FID
prior distance from other fish 1,DFF.prior.1
prior distance from other fish 2,DFF.prior.2
prior distance from other fish 3,DFF.prior.3
fid speed time ( 0.23 sec),speed.FID
fid speed time (0.34 sec),speed.FID
fid speed time (0. 34 sec),speed.FID
fid speed time (0.97 sec),speed.FID
prior range 2 time (1.73),prior.range.2
fid speed time (1 sec),speed.FID
fid speed time (0.84 sec),speed.FID
fid speed time (1.24 sec),speed.FID
fid speed time (2.17 sec),speed.FID
fid speed time (1.91 sec),speed.FID
prior range 1 time (1 sec),prior.range.1
prior speed 1 time (1 sec),speed.prior.1
prior range 2 time (1 sec),prior.range.2
prior speed 2 time (1 sec),speed.prior.2
prior range 3 time (0.73 sec),prior.range.3
prior speed 3 time (0.73 sec),speed.prior.3
fid speed time (0.83 sec),speed.FID
fid speed time (0.47 sec),speed.FID
fid speed time (1.5 sec),speed.FID
prior range 3 time (1.5 sec),prior.range.3
prior speed 3 time (1.5 sec),speed.prior.3
prior range 3 time (1 sec),prior.range.3
prior speed 3 time (1 sec),speed.prior.3
fid speed time (1.76 sec),speed.FID
fid speed time (2.80 sec),speed.FID
prior speed 2 time (2 sec),speed.prior.2
fid speed time (1.66 sec),speed.FID
prior range 2 time (2 sec),prior.range.2
fid speed time (0.73 sec),speed.FID
distance from substrate prior 1,DFS.prior.1
distance from substrate prior 2,DFS.prior.2
distance from substrate prior 3,DFS.prior.3
fid speed time (0.6 sec),speed.FID
fid speed time (0.54 sec),speed.FID
fid speed time (0.37 sec),speed.FID
fid speed time (1.27 sec),speed.FID
fid speed time (1.90 sec),speed.FID
fid speed time (1.47 sec),speed.FID
