"","unique_id","dfs.fid","dfs.prior.1","dfs.prior.2","dfs.prior.3","fid","length","speed.fid","speed.prior.1","speed.prior.2","speed.prior.3","Treatment","opcode","family","genus","species","activity","school_individual","DFSAvg","speed.priorAvg","scientific"
"1","Diver 1aLIZARD3_CAM5_RIG3",340.961,554.352,427.935,526.003,1366.707,166.39,0.906782352941176,0.196183,0.376303,0.649934,"Diver","LIZARD3_CAM5_RIG3","Lutjanidae","Lutjanus","fulviflamma","flight","School",502.763333333333,0.407473333333333,"Lutjanus.fulviflamma"
"2","Diver 1aLIZARD4_CAM2_RIG3",92.67,253.071,249.251,157.835,1623.406,150.368,0.083562,0.0560296666666667,0.022347,0.085211,"Diver","LIZARD4_CAM2_RIG3","Lutjanidae","Lutjanus","fulviflamma","flight","School",220.052333333333,0.0545292222222222,"Lutjanus.fulviflamma"
"3","Diver 1bLIZARD3_CAM5_RIG3",205.264,326.57,444.525,324.44,1413.163,152.592,0.489311764705882,0.138111,0.314827,0.474302,"Diver","LIZARD3_CAM5_RIG3","Lutjanidae","Lutjanus","fulviflamma","flight","School",365.178333333333,0.30908,"Lutjanus.fulviflamma"
"4","Diver 1bLIZARD4_CAM2_RIG3",117.798,274.427,172.445,181.364,1126.6,128.276,0.175650230414747,0.04227,0.0487876666666667,0.0410723333333333,"Diver","LIZARD4_CAM2_RIG3","Lutjanidae","Lutjanus","fulviflamma","flight","School",209.412,0.0440433333333333,"Lutjanus.fulviflamma"
"5","Diver 1cLIZARD3_CAM5_RIG3",278.076,408.048,319.821,311.073,1247.625,152.379,0.609505882352941,0.11372,0.302981,0.393413,"Diver","LIZARD3_CAM5_RIG3","Lutjanidae","Lutjanus","fulviflamma","flight","School",346.314,0.270038,"Lutjanus.fulviflamma"
"6","Diver 1LIZARD1_CAM4_RIG2",138.654,194.857,67.712,147.38,1148.074,113.679,0.15054347826087,0.052862,NA,0.0472873333333333,"Perspex","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","hide","Individual",136.649666666667,0.0500746666666667,"Lutjanus.spp"
"7","Diver 1LIZARD1_CAM5_RIG3",67.79,53.603,106.755,86.848,574.288,133.056,0.0975978723404255,0.0131633333333333,NA,0.0201606666666667,"Perspex","LIZARD1_CAM5_RIG3","Lutjanidae","Lutjanus","spp","hide","Individual",82.402,0.016662,"Lutjanus.spp"
"8","Diver 1LIZARD1_CAM6_RIG1",NA,243.605,225.503,153.849,1641.469,190.241,0.206903174603175,NA,0.0808703333333333,0.0615126666666667,"Diver","LIZARD1_CAM6_RIG1","Lutjanidae","Lutjanus","fulviflamma","hide","Individual",207.652333333333,0.0711915,"Lutjanus.fulviflamma"
"9","Diver 1LIZARD2_CAM2_RIG1",563.816,558.231,550.981,413.71,2194.811,288.111,NA,0.0433143333333333,NA,NA,"Diver","LIZARD2_CAM2_RIG1","Lutjanidae","Lutjanus","carponotatus","C- turn","Individual",507.640666666667,0.0433143333333333,"Lutjanus.carponotatus"
"10","Diver 1LIZARD2_CAM3_RIG1",NA,50.824,101.466,158.364,1423.242,275.101,0.312298051948052,NA,NA,0.0323916666666667,"Shark","LIZARD2_CAM3_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",103.551333333333,0.0323916666666667,"Diagramma.pictum"
"11","Diver 1LIZARD2_CAM4_RIG1",620.57,404.376,331.718,94.741,1692.622,574.534,0.505773333333333,0.201716,0.253405,0.232262,"Diver","LIZARD2_CAM4_RIG1","Serranidae","Plectropomus","spp","C- turn","Individual",276.945,0.229127666666667,"Plectropomus.spp"
"12","Diver 1LIZARD2_CAM5_RIG3",NA,108.266,63.852,NA,958.804,186.293,0.215350777202073,0.0364576666666667,NA,NA,"Diver","LIZARD2_CAM5_RIG3","Haemulidae","Diagramma","pictum","flight","Individual",86.059,0.0364576666666667,"Diagramma.pictum"
"13","Diver 1LIZARD3_CAM1_RIG1",332.101,802.372,843.606,696.108,1977.121,320.738,0.54627,NA,NA,0.163076666666667,"Diver","LIZARD3_CAM1_RIG1","Pomacanthidae","Pomacanthus","sexstriatus","hide","Individual",780.695333333333,0.163076666666667,"Pomacanthus.sexstriatus"
"14","Diver 1LIZARD3_CAM2_RIG1",290.953,235.46,245.277,316.708,2177.652,260.929,0.97972,0.0932863333333333,0.102496666666667,0.0614166666666667,"Diver","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","fulviflamma","flight","Individual",265.815,0.0857332222222222,"Lutjanus.fulviflamma"
"15","Diver 1LIZARD3_CAM3_RIG2",NA,112.603,119.492,81.32,1722.716,NA,NA,NA,NA,NA,"Diver","LIZARD3_CAM3_RIG2","Haemulidae","Plectorhinchus","lineatus","flight","Individual",104.471666666667,NA,"Plectorhinchus.lineatus"
"16","Diver 1LIZARD3_CAM6_RIG2",331.996,397.74,369.796,334.188,1868.547,179.456,0.360429166666667,0.15144,0.0696065,0.162898,"Diver","LIZARD3_CAM6_RIG2","Lutjanidae","Lutjanus","fulviflamma","flight","Individual",367.241333333333,0.1279815,"Lutjanus.fulviflamma"
"17","Diver 1LIZARD4_CAM4_RIG1",253.815,339.316,226.982,234.159,2367.082,381.094,0.33649649122807,0.0388003333333333,0.097627,0.10116,"Diver","LIZARD4_CAM4_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","flight","Individual",266.819,0.0791957777777778,"Plectorhinchus.chrysotaenia"
"18","Diver 1LIZARD4_CAM5_RIG1",NA,NA,NA,NA,2351.589,418.106,0.202286511627907,NA,NA,NA,"Diver","LIZARD4_CAM5_RIG1","Serranidae","Plectropomus","spp","flight","Individual",NA,NA,"Plectropomus.spp"
"19","Diver 2LIZARD1_CAM4_RIG2",78.671,98.63,56.251,33.981,907.241,209.065,0.267878350515464,NA,NA,0.065503,"Diver","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","fulviflamma","hide","Individual",62.954,0.065503,"Lutjanus.fulviflamma"
"20","Diver 2LIZARD1_CAM6_RIG1",NA,243.168,227.072,160.132,1837.978,198.666,0.089004,NA,0.077831,0.116416333333333,"Diver","LIZARD1_CAM6_RIG1","Lutjanidae","Lutjanus","fulviflamma","hide","Individual",210.124,0.0971236666666667,"Lutjanus.fulviflamma"
"21","Diver 2LIZARD2_CAM2_RIG1",288.632,282.622,72.916,87.057,2250.825,240.415,0.343318918918919,NA,NA,NA,"Diver","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",147.531666666667,NA,"Diagramma.pictum"
"22","Diver 2LIZARD2_CAM5_RIG3",216.56,271.131,274.709,204.977,571.92,289.912,0.184121243523316,0.036259,0.01869,NA,"Diver","LIZARD2_CAM5_RIG3","Haemulidae","Plectorhinchus","chrysotaenia","C- turn","Individual",250.272333333333,0.0274745,"Plectorhinchus.chrysotaenia"
"23","Diver 2LIZARD3_CAM1_RIG1",514.038,774.858,758.448,729.721,1294.886,367.392,0.446612142857143,NA,NA,0.112687,"Diver","LIZARD3_CAM1_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","hide","Individual",754.342333333333,0.112687,"Plectorhinchus.chrysotaenia"
"24","Diver 2LIZARD3_CAM3_RIG2",NA,215.28,284.869,457.41,1547.185,NA,NA,0.0263543333333333,0.016414,0.196890666666667,"Diver","LIZARD3_CAM3_RIG2","Lutjanidae","Lutjanus","fulviflamma","flight","Individual",319.186333333333,0.0798863333333333,"Lutjanus.fulviflamma"
"25","Diver 2LIZARD4_CAM4_RIG1",NA,NA,97.961,NA,2754.703,270.617,1.31813571428571,NA,0.046263,NA,"Shark","LIZARD4_CAM4_RIG1","Lutjanidae","Lutjanus","carponotatus","C- turn","Individual",97.961,0.046263,"Lutjanus.carponotatus"
"26","Diver 3aLIZARD1_CAM4_RIG2",146.636,106.978,115.356,119.649,1124.861,115.475,0.120094117647059,NA,NA,NA,"Diver","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","hide","School",113.994333333333,NA,"Lutjanus.spp"
"27","Diver 3bLIZARD1_CAM4_RIG2",188.556,155.828,156.707,165.56,1122.993,127.789,0.121311764705882,0.0192116666666667,NA,NA,"Diver","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","hide","School",159.365,0.0192116666666667,"Lutjanus.spp"
"28","Diver 3LIZARD2_CAM2_RIG1",321.14,682.106,134.44,102.35,1934.461,245.161,0.590918918918919,NA,NA,0.050028,"Diver","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",306.298666666667,0.050028,"Diagramma.pictum"
"29","Diver 3LIZARD3_CAM1_RIG1",268.128,101.582,279.04,209.636,1886.119,357.676,0.428095726495727,NA,NA,NA,"Diver","LIZARD3_CAM1_RIG1","Pomacanthidae","Pomacanthus","sexstriatus","hide","Individual",196.752666666667,NA,"Pomacanthus.sexstriatus"
"30","Diver 3LIZARD3_CAM3_RIG2",NA,195.909,192.578,156.544,1202.818,NA,0.27039552238806,0.0425426666666667,0.125339,0.040256,"Diver","LIZARD3_CAM3_RIG2","Lutjanidae","Lutjanus","fulviflamma","flight","Individual",181.677,0.0693792222222222,"Lutjanus.fulviflamma"
"31","Diver 4LIZARD2_CAM2_RIG1",155.505,212.672,245.662,234.602,1751.107,268.557,0.281834736842105,NA,NA,NA,"Diver","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","C- turn","Individual",230.978666666667,NA,"Diagramma.pictum"
"32","Perspex 1aLIZARD3_CAM3_RIG2",NA,98.055,107.925,125.569,1464.222,186.235,NA,0.0288843333333333,0.0171323333333333,0.0221586666666667,"Perspex","LIZARD3_CAM3_RIG2","Lutjanidae","Lutjanus","fulviflamma","no response","School",110.516333333333,0.0227251111111111,"Lutjanus.fulviflamma"
"33","Perspex 1bLIZARD3_CAM3_RIG2",NA,161.793,129.309,81.835,1469.987,189.507,NA,0.0177303333333333,NA,0.0234526666666667,"Perspex","LIZARD3_CAM3_RIG2","Lutjanidae","Lutjanus","fulviflamma","no response","School",124.312333333333,0.0205915,"Lutjanus.fulviflamma"
"34","Perspex 1cLIZARD3_CAM3_RIG2",NA,104.846,70.692,90.228,1507.746,197.037,NA,0.0398216666666667,0.0344546666666667,NA,"Perspex","LIZARD3_CAM3_RIG2","Lutjanidae","Lutjanus","fulviflamma","no response","School",88.5886666666667,0.0371381666666667,"Lutjanus.fulviflamma"
"35","Perspex 1LIZARD1_CAM2_RIG3",305.731,NA,49.224,309.093,711.662,161.777,0.206492063492064,NA,0.117527666666667,0.0901846666666666,"Perspex","LIZARD1_CAM2_RIG3","Lutjanidae","Lutjanus","fulviflamma","no response","Individual",179.1585,0.103856166666667,"Lutjanus.fulviflamma"
"36","Perspex 1LIZARD1_CAM4_RIG2",123.9,158.38,159.824,148.06,1027.597,110.271,NA,NA,NA,NA,"Perspex","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","no response","Individual",155.421333333333,NA,"Lutjanus.spp"
"37","Perspex 1LIZARD1_CAM5_RIG3",NA,NA,NA,95.603,940.325,126.616,0.0689060240963855,0.05765,0.156475,0.107513698630137,"Perspex","LIZARD1_CAM5_RIG3","Lutjanidae","Lutjanus","spp","no response","Individual",95.603,0.107212899543379,"Lutjanus.spp"
"38","Perspex 1LIZARD1_CAM6_RIG1",491.312,250.233,448.177,415.83,2255.219,216.03,0.234131506849315,0.076531,0.0621615,0.0975063333333333,"Pipe","LIZARD1_CAM6_RIG1","Lutjanidae","Lutjanus","fulvus","hide","Individual",371.413333333333,0.0787329444444445,"Lutjanus.fulvus"
"39","Perspex 1LIZARD2_CAM2_RIG1",187.504,470.691,161.795,146.973,994.879,361.994,1.443885,0.234964,0.154848,0.191578333333333,"Perspex","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",259.819666666667,0.193796777777778,"Diagramma.pictum"
"40","Perspex 1LIZARD2_CAM3_RIG1",NA,181.873,133.861,164.356,1484.557,334.967,NA,NA,NA,NA,"Perspex","LIZARD2_CAM3_RIG1","Haemulidae","Diagramma","pictum","no response","Individual",160.03,NA,"Diagramma.pictum"
"41","Perspex 1LIZARD2_CAM4_RIG1",112.339,282.862,212.514,199.036,1581.252,290.842,NA,NA,NA,0.0306803333333333,"Perspex","LIZARD2_CAM4_RIG1","Haemulidae","Diagramma","pictum","no response","Individual",231.470666666667,0.0306803333333333,"Diagramma.pictum"
"42","Perspex 1LIZARD2_CAM5_RIG3",NA,NA,NA,NA,853.957,198.352,NA,0.022707,0.032853,NA,"Perspex","LIZARD2_CAM5_RIG3","Haemulidae","Diagramma","pictum","no response","Individual",NA,0.02778,"Diagramma.pictum"
"43","Perspex 1LIZARD3_CAM1_RIG1",268.451,NA,283.778,291.882,911.769,365.923,1.35937,NA,NA,0.0951206666666667,"Perspex","LIZARD3_CAM1_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",287.83,0.0951206666666667,"Plectorhinchus.chrysotaenia"
