,unique_id,dfs.fid,dfs.prior.1,dfs.prior.2,dfs.prior.3,fid,length,speed.fid,speed.prior.1,speed.prior.2,speed.prior.3,Treatment,opcode,family,genus,species,activity,school_individual,DFSAvg,speed.priorAvg,scientific,site
1,Diver 1aLIZARD3_CAM5_RIG3,340.961,554.352,427.935,526.003,1366.707,166.39,0.906782353,0.196183,0.376303,0.649934,Diver,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,flight,School,502.7633333,0.407473333,Lutjanus.fulviflamma,3
2,Diver 1aLIZARD4_CAM2_RIG3,92.67,253.071,249.251,157.835,1623.406,150.368,0.083562,0.056029667,0.022347,0.085211,Diver,LIZARD4_CAM2_RIG3,Lutjanidae,Lutjanus,fulviflamma,flight,School,220.0523333,0.054529222,Lutjanus.fulviflamma,4
3,Diver 1bLIZARD3_CAM5_RIG3,205.264,326.57,444.525,324.44,1413.163,152.592,0.489311765,0.138111,0.314827,0.474302,Diver,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,flight,School,365.1783333,0.30908,Lutjanus.fulviflamma,3
4,Diver 1bLIZARD4_CAM2_RIG3,117.798,274.427,172.445,181.364,1126.6,128.276,0.17565023,0.04227,0.048787667,0.041072333,Diver,LIZARD4_CAM2_RIG3,Lutjanidae,Lutjanus,fulviflamma,flight,School,209.412,0.044043333,Lutjanus.fulviflamma,4
5,Diver 1cLIZARD3_CAM5_RIG3,278.076,408.048,319.821,311.073,1247.625,152.379,0.609505882,0.11372,0.302981,0.393413,Diver,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,flight,School,346.314,0.270038,Lutjanus.fulviflamma,3
6,Diver 1LIZARD1_CAM4_RIG2,138.654,194.857,67.712,147.38,1148.074,113.679,0.150543478,0.052862,0,0.047287333,Perspex,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,spp,hide,Individual,136.6496667,0.033383111,Lutjanus.spp,1
7,Diver 1LIZARD1_CAM5_RIG3,67.79,53.603,106.755,86.848,574.288,133.056,0.097597872,0.013163333,NA,0.020160667,Perspex,LIZARD1_CAM5_RIG3,Lutjanidae,Lutjanus,spp,hide,Individual,82.402,0.016662,Lutjanus.spp,1
8,Diver 1LIZARD1_CAM6_RIG1,NA,243.605,225.503,153.849,1641.469,190.241,0.206903175,0,0.080870333,0.061512667,Diver,LIZARD1_CAM6_RIG1,Lutjanidae,Lutjanus,fulviflamma,hide,Individual,207.6523333,0.047461,Lutjanus.fulviflamma,1
9,Diver 1LIZARD2_CAM2_RIG1,563.816,558.231,550.981,413.71,2194.811,288.111,NA,0.043314333,0,0,Diver,LIZARD2_CAM2_RIG1,Lutjanidae,Lutjanus,carponotatus,C- turn,Individual,507.6406667,0.014438111,Lutjanus.carponotatus,2
10,Diver 1LIZARD2_CAM3_RIG1,NA,50.824,101.466,158.364,1423.242,275.101,0.312298052,0,0,0.032391667,Shark,LIZARD2_CAM3_RIG1,Haemulidae,Diagramma,pictum,flight,Individual,103.5513333,0.010797222,Diagramma.pictum,2
11,Diver 1LIZARD2_CAM4_RIG1,620.57,404.376,331.718,94.741,1692.622,574.534,0.505773333,0.201716,0.253405,0.232262,Diver,LIZARD2_CAM4_RIG1,Serranidae,Plectropomus,spp,C- turn,Individual,276.945,0.229127667,Plectropomus.spp,2
12,Diver 1LIZARD2_CAM5_RIG3,0,108.266,63.852,0,958.804,186.293,0.215350777,0.036457667,0,0,Diver,LIZARD2_CAM5_RIG3,Haemulidae,Diagramma,pictum,flight,Individual,86.059,0.012152556,Diagramma.pictum,2
13,Diver 1LIZARD3_CAM1_RIG1,332.101,802.372,843.606,696.108,1977.121,320.738,0.54627,0,0,0.163076667,Diver,LIZARD3_CAM1_RIG1,Pomacanthidae,Pomacanthus,sexstriatus,hide,Individual,780.6953333,0.054358889,Pomacanthus.sexstriatus,3
14,Diver 1LIZARD3_CAM2_RIG1,290.953,235.46,245.277,316.708,2177.652,260.929,0.97972,0.093286333,0.102496667,0.061416667,Diver,LIZARD3_CAM2_RIG1,Lutjanidae,Lutjanus,fulviflamma,flight,Individual,265.815,0.085733222,Lutjanus.fulviflamma,3
15,Diver 1LIZARD3_CAM3_RIG2,NA,112.603,119.492,81.32,1722.716,NA,NA,0,0,0,Diver,LIZARD3_CAM3_RIG2,Haemulidae,Plectorhinchus,lineatus,flight,Individual,104.4716667,0,Plectorhinchus.lineatus,3
16,Diver 1LIZARD3_CAM6_RIG2,331.996,397.74,369.796,334.188,1868.547,179.456,0.360429167,0.15144,0.0696065,0.162898,Diver,LIZARD3_CAM6_RIG2,Lutjanidae,Lutjanus,fulviflamma,flight,Individual,367.2413333,0.1279815,Lutjanus.fulviflamma,3
