"","unique_id","dfs.fid","dfs.prior.1","dfs.prior.2","dfs.prior.3","fid","length","speed.fid","speed.prior.1","speed.prior.2","speed.prior.3","Treatment","opcode","family","genus","species","activity","school_individual","DFSAvg","speed.priorAvg","scientific","site"
"1","Diver 1LIZARD1_CAM4_RIG2",138.654,194.857,67.712,147.38,1148.074,113.679,0.15054347826087,0.052862,0,0.0472873333333333,"Perspex","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","hide","Individual",136.649666666667,0.0333831111111111,"Lutjanus.spp","1"
"2","Diver 1LIZARD1_CAM5_RIG3",67.79,53.603,106.755,86.848,574.288,133.056,0.0975978723404255,0.0131633333333333,NA,0.0201606666666667,"Perspex","LIZARD1_CAM5_RIG3","Lutjanidae","Lutjanus","spp","hide","Individual",82.402,0.016662,"Lutjanus.spp","1"
"3","Diver 1LIZARD1_CAM6_RIG1",NA,243.605,225.503,153.849,1641.469,190.241,0.206903174603175,0,0.0808703333333333,0.0615126666666667,"Diver","LIZARD1_CAM6_RIG1","Lutjanidae","Lutjanus","fulviflamma","hide","Individual",207.652333333333,0.047461,"Lutjanus.fulviflamma","1"
"4","Diver 1LIZARD2_CAM2_RIG1",563.816,558.231,550.981,413.71,2194.811,288.111,NA,0.0433143333333333,0,0,"Diver","LIZARD2_CAM2_RIG1","Lutjanidae","Lutjanus","carponotatus","C- turn","Individual",507.640666666667,0.0144381111111111,"Lutjanus.carponotatus","2"
"5","Diver 1LIZARD2_CAM3_RIG1",NA,50.824,101.466,158.364,1423.242,275.101,0.312298051948052,0,0,0.0323916666666667,"Shark","LIZARD2_CAM3_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",103.551333333333,0.0107972222222222,"Diagramma.pictum","2"
"6","Diver 1LIZARD2_CAM4_RIG1",620.57,404.376,331.718,94.741,1692.622,574.534,0.505773333333333,0.201716,0.253405,0.232262,"Diver","LIZARD2_CAM4_RIG1","Serranidae","Plectropomus","spp","C- turn","Individual",276.945,0.229127666666667,"Plectropomus.spp","2"
"7","Diver 1LIZARD2_CAM5_RIG3",NA,108.266,63.852,NA,958.804,186.293,0.215350777202073,0.0364576666666667,0,0,"Diver","LIZARD2_CAM5_RIG3","Haemulidae","Diagramma","pictum","flight","Individual",86.059,0.0121525555555556,"Diagramma.pictum","2"
"8","Diver 1LIZARD3_CAM1_RIG1",332.101,802.372,843.606,696.108,1977.121,320.738,0.54627,0,0,0.163076666666667,"Diver","LIZARD3_CAM1_RIG1","Pomacanthidae","Pomacanthus","sexstriatus","hide","Individual",780.695333333333,0.0543588888888889,"Pomacanthus.sexstriatus","3"
"9","Diver 1LIZARD3_CAM2_RIG1",290.953,235.46,245.277,316.708,2177.652,260.929,0.97972,0.0932863333333333,0.102496666666667,0.0614166666666667,"Diver","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","fulviflamma","flight","Individual",265.815,0.0857332222222222,"Lutjanus.fulviflamma","3"
"10","Diver 1LIZARD3_CAM3_RIG2",NA,112.603,119.492,81.32,1722.716,NA,NA,0,0,0,"Diver","LIZARD3_CAM3_RIG2","Haemulidae","Plectorhinchus","lineatus","flight","Individual",104.471666666667,0,"Plectorhinchus.lineatus","3"
