,unique_id,dfs.fid,dfs.prior.1,dfs.prior.2,dfs.prior.3,fid,length,speed.fid,speed.prior.1,speed.prior.2,speed.prior.3,Treatment,opcode,family,genus,species,activity,school_individual,DFSAvg,speed.priorAvg,scientific,site
1,Diver 1LIZARD1_CAM4_RIG2,138.654,194.857,67.712,147.38,1148.074,113.679,0.150543478,0.052862,0,0.047287333,Perspex,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,spp,hide,Individual,136.6496667,0.033383111,Lutjanus.spp,1
2,Diver 1LIZARD1_CAM5_RIG3,67.79,53.603,106.755,86.848,574.288,133.056,0.097597872,0.013163333,NA,0.020160667,Perspex,LIZARD1_CAM5_RIG3,Lutjanidae,Lutjanus,spp,hide,Individual,82.402,0.016662,Lutjanus.spp,1
3,Diver 1LIZARD1_CAM6_RIG1,NA,243.605,225.503,153.849,1641.469,190.241,0.206903175,0,0.080870333,0.061512667,Diver,LIZARD1_CAM6_RIG1,Lutjanidae,Lutjanus,fulviflamma,hide,Individual,207.6523333,0.047461,Lutjanus.fulviflamma,1
4,Diver 1LIZARD2_CAM2_RIG1,563.816,558.231,550.981,413.71,2194.811,288.111,NA,0.043314333,0,0,Diver,LIZARD2_CAM2_RIG1,Lutjanidae,Lutjanus,carponotatus,C- turn,Individual,507.6406667,0.014438111,Lutjanus.carponotatus,2
5,Diver 1LIZARD2_CAM3_RIG1,NA,50.824,101.466,158.364,1423.242,275.101,0.312298052,0,0,0.032391667,Shark,LIZARD2_CAM3_RIG1,Haemulidae,Diagramma,pictum,flight,Individual,103.5513333,0.010797222,Diagramma.pictum,2
6,Diver 1LIZARD2_CAM4_RIG1,620.57,404.376,331.718,94.741,1692.622,574.534,0.505773333,0.201716,0.253405,0.232262,Diver,LIZARD2_CAM4_RIG1,Serranidae,Plectropomus,spp,C- turn,Individual,276.945,0.229127667,Plectropomus.spp,2
7,Diver 1LIZARD2_CAM5_RIG3,0,108.266,63.852,0,958.804,186.293,0.215350777,0.036457667,0,0,Diver,LIZARD2_CAM5_RIG3,Haemulidae,Diagramma,pictum,flight,Individual,86.059,0.012152556,Diagramma.pictum,2
8,Diver 1LIZARD3_CAM2_RIG1,290.953,235.46,245.277,316.708,2177.652,260.929,0.97972,0.093286333,0.102496667,0.061416667,Diver,LIZARD3_CAM2_RIG1,Lutjanidae,Lutjanus,fulviflamma,flight,Individual,265.815,0.085733222,Lutjanus.fulviflamma,3
9,Diver 1LIZARD3_CAM3_RIG2,NA,112.603,119.492,81.32,1722.716,NA,NA,0,0,0,Diver,LIZARD3_CAM3_RIG2,Haemulidae,Plectorhinchus,lineatus,flight,Individual,104.4716667,0,Plectorhinchus.lineatus,3
10,Diver 1LIZARD3_CAM6_RIG2,331.996,397.74,369.796,334.188,1868.547,179.456,0.360429167,0.15144,0.0696065,0.162898,Diver,LIZARD3_CAM6_RIG2,Lutjanidae,Lutjanus,fulviflamma,flight,Individual,367.2413333,0.1279815,Lutjanus.fulviflamma,3
11,Diver 1LIZARD4_CAM4_RIG1,253.815,339.316,226.982,234.159,2367.082,381.094,0.336496491,0.038800333,0.097627,0.10116,Diver,LIZARD4_CAM4_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,flight,Individual,266.819,0.079195778,Plectorhinchus.chrysotaenia,4
12,Diver 1LIZARD4_CAM5_RIG1,0,0,0,0,2351.589,418.106,0.202286512,0,0,0,Diver,LIZARD4_CAM5_RIG1,Serranidae,Plectropomus,spp,flight,Individual,NA,0,Plectropomus.spp,4
13,Diver 2LIZARD1_CAM4_RIG2,78.671,98.63,56.251,33.981,907.241,209.065,0.267878351,0,0,0.065503,Diver,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,fulviflamma,hide,Individual,62.954,0.021834333,Lutjanus.fulviflamma,1
14,Diver 2LIZARD1_CAM6_RIG1,NA,243.168,227.072,160.132,1837.978,198.666,0.089004,0,0.077831,0.116416333,Diver,LIZARD1_CAM6_RIG1,Lutjanidae,Lutjanus,fulviflamma,hide,Individual,210.124,0.064749111,Lutjanus.fulviflamma,1
15,Diver 2LIZARD2_CAM2_RIG1,288.632,282.622,72.916,87.057,2250.825,240.415,0.343318919,0,0,0,Diver,LIZARD2_CAM2_RIG1,Haemulidae,Diagramma,pictum,flight,Individual,147.5316667,0,Diagramma.pictum,2
16,Diver 2LIZARD2_CAM5_RIG3,216.56,271.131,274.709,204.977,571.92,289.912,0.184121244,0.036259,0.01869,0,Diver,LIZARD2_CAM5_RIG3,Haemulidae,Plectorhinchus,chrysotaenia,C- turn,Individual,250.2723333,0.018316333,Plectorhinchus.chrysotaenia,2
17,Diver 2LIZARD3_CAM1_RIG1,514.038,774.858,758.448,729.721,1294.886,367.392,0.446612143,0,0,0.112687,Diver,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,hide,Individual,754.3423333,0.037562333,Plectorhinchus.chrysotaenia,3
