"","uniqueID","FID","Length","Treatment","Genus","Species","Activity","School.Individual","speed.FID","SpeedAvg","DFS.FID","DFSAvg"
"1","Diver 1aLIZARD3_CAM5_RIG3",1366.707,166.39,"Diver","Lutjanus","fulviflamma","flight","School",0.906782353,0.407473333333333,340.961,502.763333333333
"2","Diver 1aLIZARD4_CAM2_RIG3",1623.406,150.368,"Diver","Lutjanus","fulviflamma","flight","School",0.083562,0.053779,92.67,220.052333333333
"3","Diver 1bLIZARD3_CAM5_RIG3",1413.163,152.592,"Diver","Lutjanus","fulviflamma","flight","School",0.489311765,0.30908,205.264,365.178333333333
"4","Diver 1bLIZARD4_CAM2_RIG3",1126.6,128.276,"Diver","Lutjanus","fulviflamma","flight","School",0.17565023,0.0440433333333333,117.798,209.412
"5","Diver 1cLIZARD3_CAM5_RIG3",1247.625,152.379,"Diver","Lutjanus","fulviflamma","flight","School",0.609505882,0.270038,278.076,346.314
"6","Diver 1LIZARD1_CAM4_RIG2",1148.074,113.679,"Diver","Lutjanus","sp","hide","Individual",0.150543478,0.033383111,138.654,136.649666666667
"7","Diver 1LIZARD1_CAM4_RIG2",1148.074,113.679,"Perspex","Lutjanus","sp","hide","Individual",0.150543478,0.033383111,138.654,136.649666666667
"8","Diver 1LIZARD1_CAM5_RIG3",574.288,133.056,"Diver","Lutjanus","sp","hide","Individual",0.097597872,0.016662,67.79,82.402
"9","Diver 1LIZARD1_CAM6_RIG1",1641.469,190.241,"Diver","Lutjanus","fulviflamma","hide","Individual",0.206903175,0.047461,NA,207.652333333333
"10","Diver 1LIZARD2_CAM2_RIG1",2194.811,288.111,"Diver","Lutjanus","carponotatus","C- turn","Individual",0,0.014438111,563.816,507.640666666667
"11","Diver 1LIZARD2_CAM3_RIG1",1423.242,275.101,"Diver","Diagramma","pictum","flight","Individual",0.312298052,0.0107972223333333,158.364,76.145
"12","Diver 1LIZARD2_CAM3_RIG1",1423.242,275.101,"Shark","Diagramma","pictum","flight","Individual",0.312298052,0.0107972223333333,158.364,76.145
"13","Diver 1LIZARD2_CAM4_RIG1",1692.622,574.534,"Diver","Plectropomus","sp","C- turn","Individual",0.505773333,0.229127666666667,620.57,276.945
"14","Diver 1LIZARD2_CAM5_RIG3",958.804,186.293,"Diver","Diagramma","pictum","flight","Individual",0.215350777,0.0121525556666667,0,57.3726666666667
"15","Diver 1LIZARD3_CAM1_RIG1",1977.121,320.738,"Diver","Pomacanthus","sexstriatus","hide","Individual",0.54627,0.054358889,332.101,780.695333333333
"16","Diver 1LIZARD3_CAM2_RIG1",2177.652,260.929,"Diver","Lutjanus","fulviflamma","flight","Individual",0.97972,0.0857332223333333,290.953,265.815
"17","Diver 1LIZARD3_CAM3_RIG2",1722.716,NA,"Diver","Plectorhinchus","lineatus","flight","Individual",NA,0,81.32,116.0475
"18","Diver 1LIZARD3_CAM6_RIG2",1868.547,179.456,"Diver","Lutjanus","fulviflamma","flight","Individual",0.360429167,0.1279815,331.996,367.241333333333
"19","Diver 1LIZARD4_CAM4_RIG1",2367.082,381.094,"Diver","Plectorhinchus","chrysotaenia","flight","Individual",0.336496491,0.0791957776666667,253.815,266.819
"20","Diver 1LIZARD4_CAM5_RIG1",2351.589,418.106,"Diver","Plectropomus","sp","flight","Individual",0.202286512,0,0,0
"21","Diver 2LIZARD1_CAM4_RIG2",907.241,209.065,"Diver","Lutjanus","fulviflamma","hide","Individual",0.267878351,0.0218343333333333,78.671,62.954
"22","Diver 2LIZARD1_CAM6_RIG1",1837.978,198.666,"Diver","Lutjanus","fulviflamma","hide","Individual",0.089004,0.064749111,NA,210.124
"23","Diver 2LIZARD2_CAM2_RIG1",2250.825,240.415,"Diver","Diagramma","pictum","flight","Individual",0.343318919,0,288.632,147.531666666667
"24","Diver 2LIZARD2_CAM5_RIG3",571.92,289.912,"Diver","Plectorhinchus","chrysotaenia","C- turn","Individual",0.184121244,0.0183163333333333,216.56,250.272333333333
"25","Diver 2LIZARD3_CAM1_RIG1",1294.886,367.392,"Diver","Plectorhinchus","chrysotaenia","hide","Individual",0.446612143,0.0375623333333333,514.038,754.342333333333
"26","Diver 2LIZARD3_CAM3_RIG2",1547.185,NA,"Diver","Lutjanus","fulviflamma",NA,"Individual",NA,0.0798863333333333,457.41,250.0745
"27","Diver 2LIZARD3_CAM3_RIG2",1547.185,NA,"Diver","Lutjanus","fulviflamma","flight","Individual",NA,0.0798863333333333,457.41,250.0745
"28","Diver 2LIZARD4_CAM4_RIG1",2754.703,270.617,"Diver","Lutjanus","carponotatus","C- turn","Individual",1.318135714,0.0231315,0,32.6536666666667
"29","Diver 2LIZARD4_CAM4_RIG1",2754.703,270.617,"Shark","Lutjanus","carponotatus","C- turn","Individual",1.318135714,0.0231315,0,32.6536666666667
"30","Diver 3aLIZARD1_CAM4_RIG2",1124.861,115.475,"Diver","Lutjanus","sp","hide","School",0.120094118,0,146.636,113.994333333333
"31","Diver 3bLIZARD1_CAM4_RIG2",1122.993,127.789,"Diver","Lutjanus","sp","hide","School",0.121311765,0.006403889,188.556,159.365
"32","Diver 3LIZARD2_CAM2_RIG1",1934.461,245.161,"Diver","Diagramma","pictum","flight","Individual",0.590918919,0.016676,321.14,306.298666666667
"33","Diver 3LIZARD3_CAM1_RIG1",1886.119,357.676,"Diver","Pomacanthus","sexstriatus","hide","Individual",0.428095726,0,268.128,196.752666666667
"34","Diver 3LIZARD3_CAM3_RIG2",1202.818,NA,"Diver","Lutjanus","fulviflamma","flight","Individual",0.270395522,0.0693792223333333,156.544,194.2435
"35","Diver 4LIZARD2_CAM2_RIG1",1751.107,268.557,"Diver","Diagramma","pictum","C- turn","Individual",0.281834737,0,155.505,230.978666666667
"36","Perspex 1aLIZARD3_CAM3_RIG2",1464.222,186.235,"Perspex","Lutjanus","fulviflamma","no response","School",NA,0.022725111,125.569,102.99
"37","Perspex 1bLIZARD3_CAM3_RIG2",1469.987,189.507,"Perspex","Lutjanus","fulviflamma","no response","School",0,0.0137276666666667,81.835,145.551
"38","Perspex 1cLIZARD3_CAM3_RIG2",1507.746,197.037,"Perspex","Lutjanus","fulviflamma","no response","School",NA,0.037138167,90.228,87.769
"39","Perspex 1LIZARD1_CAM2_RIG3",711.662,161.777,"Perspex","Lutjanus","fulviflamma","no response","Individual",0.206492063,0.103856167,305.731,179.1585
"40","Perspex 1LIZARD1_CAM4_RIG2",1027.597,110.271,"Perspex","Lutjanus","sp","no response","Individual",0,0,123.9,155.421333333333
"41","Perspex 1LIZARD1_CAM5_RIG3",940.325,126.616,"Perspex","Lutjanus","sp","no response","Individual",0.068906024,0.107212899666667,0,31.8676666666667
"42","Perspex 1LIZARD1_CAM6_RIG1",2255.219,216.03,"Perspex","Lutjanus","fulvus","flight","Individual",0.234131507,0.0787329443333333,491.312,371.413333333333
"43","Perspex 1LIZARD1_CAM6_RIG1",2255.219,216.03,"Pipe","Lutjanus","fulvus","flight","Individual",0.234131507,0.0787329443333333,491.312,371.413333333333
"44","Perspex 1LIZARD2_CAM2_RIG1",994.879,361.994,"Perspex","Diagramma","pictum","flight","Individual",1.443885,0.193796777666667,187.504,259.819666666667
"45","Perspex 1LIZARD2_CAM3_RIG1",1484.557,334.967,"Perspex","Diagramma","pictum","no response","Individual",NA,NA,164.356,157.867
"46","Perspex 1LIZARD2_CAM4_RIG1",1581.252,290.842,"Perspex","Diagramma","pictum","no response","Individual",0,0.0102267776666667,112.339,231.470666666667
"47","Perspex 1LIZARD2_CAM5_RIG3",853.957,198.352,"Perspex","Diagramma","pictum","no response","Individual",0,0.01852,NA,NA
"48","Perspex 1LIZARD3_CAM1_RIG1",911.769,365.923,"Perspex","Plectorhinchus","chrysotaenia","C- turn","Individual",1.35937,0.0475603335,268.451,191.886666666667
"49","Perspex 1LIZARD3_CAM2_RIG1",1338.549,326.044,"Perspex","Lutjanus","carponotatus","C- turn","Individual",0.15538046,NA,529.816,NA
"50","Perspex 1LIZARD4_CAM2_RIG3",204.854,337.489,"Perspex","Plectropomus","sp","no response","Individual",0,0,NA,0
"51","Perspex 1LIZARD4_CAM4_RIG1",1003.186,632.7,"Perspex","Plectropomus","sp","no response","Individual",0,0,670.343,0
"52","Perspex 1LIZARD4_CAM5_RIG1",1732.607,554.81,"Perspex","Plectorhinchus","lineatus","C- turn","Individual",0.217263842,0.134632111,374.528,291.098666666667
"53","Perspex 2aLIZARD4_CAM2_RIG3",618.364,139.321,"Perspex","Lutjanus","fulviflamma","no response","School",0,0,146.004,153.959333333333
"54","Perspex 2bLIZARD4_CAM2_RIG3",775.984,146.952,"Perspex","Lutjanus","fulviflamma","no response","School",0,0.0419877776666667,118.31,292.526
"55","Perspex 2cLIZARD4_CAM2_RIG3",527.146,NA,"Perspex","Lutjanus","fulviflamma","no response","School",0,NA,218.64,NA
"56","Perspex 2CLIZARD4_CAM2_RIG3",NA,166.978,"Perspex","Lutjanus","fulviflamma","no response","School",NA,NA,NA,NA
"57","Perspex 2LIZARD1_CAM2_RIG3",839.79,169.91,"Perspex","Lutjanus","fulviflamma","no response","Individual",0,0.00508455566666667,314.162,302.722
"58","Perspex 2LIZARD1_CAM4_RIG2",1113.429,204.075,"Perspex","Lutjanus","fulviflamma","no response","Individual",0,0,59.684,108.768
"59","Perspex 2LIZARD1_CAM5_RIG3",862.17,124.233,"Perspex","Lutjanus","sp","no response","Individual",0.077893976,0.045913242,0,86.0396666666667
"60","Perspex 2LIZARD2_CAM2_RIG1",2223.166,220.464,"Perspex","Lutjanus","fulvus","C- turn","Individual",0.748461667,0.0415503333333333,664.22,635.558333333333
"61","Perspex 2LIZARD2_CAM5_RIG3",845.935,284.196,"Perspex","Plectorhinchus","chrysotaenia","no response","Individual",0,0.0165462223333333,NA,NA
"62","Perspex 2LIZARD2_CAM5_RIG3",845.935,284.196,"Shark","Plectorhinchus","chrysotaenia","no response","Individual",0,0.0165462223333333,NA,NA
"63","Perspex 2LIZARD3_CAM1_RIG1",1972.512,485.032,"Perspex","Plectorhinchus","albovittatus",NA,"Individual",NA,0,110.805,0
"64","Perspex 2LIZARD3_CAM1_RIG1",1972.512,485.032,"Perspex","Plectorhinchus","albovittatus","no response","Individual",NA,0,110.805,0
